标题,参考价,京东价,京东链接,产品图片,产品参数,存储容量,硬盘尺寸,接口类型,缓存,读取速度,写入速度,平均寻道时间,平均无故障时间
浦科特M9PeGN（1TB）,969,,,https://2f.zol-img.com.cn/product/190_320x240/715/cef1SL1VHRQdI.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3000MB/s
写入速度：2100MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3000MB/s,2100MB/s,暂无数据,150万小时
浦科特M10PG（512GB）,969,,,https://2b.zol-img.com.cn/product/225_320x240/257/ce89f6omfkFKs.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：512MB
读取速度：7000MB/s
写入速度：4000MB/s
平均无故障时间：250万小时
平均寻道时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,512MB,7000MB/s,4000MB/s,暂无数据,250万小时
海康威视DK4000 2TB,969,989.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100074454075.html,https://2f.zol-img.com.cn/product/259_320x240/931/ce7sIAl9y6Lqw.png,"存储容量：2TB
硬盘尺寸：M.2230
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7400MB/s
写入速度：6500MB/s
平均无故障时间：200万小时
平均寻道时间：暂无数据",2TB,M.2230,M.2 PCIe接口,无缓存,7400MB/s,6500MB/s,暂无数据,200万小时
英睿达T500 2TB,979,955.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100072444374.html,https://2d.zol-img.com.cn/product/259_320x240/457/ceoAfrkOeYEYg.png,"存储容量：2TB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：2GB
读取速度：7400MB/s
写入速度：7000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,M.2 2280,M.2 PCIe接口,2GB,7400MB/s,7000MB/s,暂无数据,150万小时
达墨PCIE M.2 固态硬盘（1TB）,988,,,https://2a.zol-img.com.cn/product/225_320x240/376/ceetoJzWHArBc.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3466MB/s
写入速度：3058MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3466MB/s,3058MB/s,暂无数据,暂无数据
Intel 665p M.2（1TB）,989,,,https://2f.zol-img.com.cn/product/225_320x240/587/ceQW8kGNeeTc.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2000MB/s
写入速度：2000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,2000MB/s,2000MB/s,暂无数据,暂无数据
联想Y9000（1TB）,989,,,https://2a.zol-img.com.cn/product/227_320x240/116/cec9UIbEuoOk.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7200MB/s
写入速度：6850MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,7200MB/s,6850MB/s,暂无数据,暂无数据
金胜EN800（1TB）,998,,,https://2b.zol-img.com.cn/product/198_320x240/43/ceINqzvOCQqk.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,500MB/s,暂无数据,暂无数据
联想拯救者L500（2TB）,999,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100138320020.html,https://2c.zol-img.com.cn/product/270_320x240/628/ceIh0MOPCdoU.jpg,"存储容量：2TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：4850MB/s
写入速度：4450MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,2280,M.2 PCIe接口,无缓存,4850MB/s,4450MB/s,暂无数据,暂无数据
紫光P400（1TB）,999,,,https://2d.zol-img.com.cn/product/205_320x240/105/ce1ZeadBySAog.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：4500MB/s
写入速度：3500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,4500MB/s,3500MB/s,暂无数据,暂无数据
铨兴N301（2TB）,999,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10067425807766.html,https://2f.zol-img.com.cn/product/230_320x240/413/ceQ40HEfGWW4s.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：3200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,3200MB/s,暂无数据,暂无数据
影驰HOF M.2 NVMe（512GB）,999,,,https://2c.zol-img.com.cn/product/196_320x240/34/cevN9ZwzpSZLw.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3400MB/s
写入速度：2000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,3400MB/s,2000MB/s,暂无数据,暂无数据
铭瑄 复仇者NM6C（960GB）,999,,,https://2e.zol-img.com.cn/product/193_320x240/884/ceLU8jD3hcv3E.jpg,"存储容量：960GB
硬盘尺寸：M.2-2280
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2100MB/s
写入速度：1800MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",960GB,M.2-2280,M.2 PCIe接口,暂无数据,2100MB/s,1800MB/s,暂无数据,150万小时
长城GT34（2TB）,999,749.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10067571071897.html,https://2a.zol-img.com.cn/product/232_320x240/346/ceAI3XhIi1Xps.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3400MB/s
写入速度：2600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,3400MB/s,2600MB/s,暂无数据,暂无数据
海康威视C2000 ECO（2TB）,999,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10033299678294.html,https://2a.zol-img.com.cn/product/224_320x240/322/cezeytkedXAKY.png,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3445MB/s
写入速度：3060MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,3445MB/s,3060MB/s,暂无数据,150万小时
希捷酷鱼510（1TB）,999,459.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10065211441916.html,https://2c.zol-img.com.cn/product/225_320x240/360/cem9RqTObpqvY.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：512MB
读取速度：3400MB/s
写入速度：3000MB/s
平均无故障时间：180万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,512MB,3400MB/s,3000MB/s,暂无数据,180万小时
梵想S770（2TB）,999,869.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10065456825626.html,https://2d.zol-img.com.cn/product/226_320x240/497/ceH14swbZnnI.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7400MB/s
写入速度：6800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,7400MB/s,6800MB/s,暂无数据,暂无数据
威刚XPG威龙S11 Pro（1TB）,999,,,https://2f.zol-img.com.cn/product/225_320x240/407/cewc6WlgSLbW2.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3350MB/s
写入速度：2800MB/s
平均无故障时间：200万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3350MB/s,2800MB/s,暂无数据,200万小时
海盗船MP600 NVMe （1TB）,999,,,https://2a.zol-img.com.cn/product/198_320x240/754/ceeRN1Z7r1CtU.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：4950MB/s
写入速度：4250MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,4950MB/s,4250MB/s,暂无数据,暂无数据
长江存储·致态TiPro9000（1TB）,999,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100165487088.html,https://2b.zol-img.com.cn/product/270_320x240/227/ceDFSvFUjl22w.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：14000mb/s
写入速度：12500mb/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,14000mb/s,12500mb/s,暂无数据,150万小时
西部数据WD_BLACK SN850X 2TB,999,,,https://2f.zol-img.com.cn/product/222_320x240/331/ceXi1HZS27b4o.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：7300MB/s
写入速度：6600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,1GB,7300MB/s,6600MB/s,暂无数据,暂无数据
大唐存储DT500-P（1TB）,999,,,https://2c.zol-img.com.cn/product/206_320x240/0/ceLMVx6RdqGY.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2500MB/s
写入速度：2100MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,2500MB/s,2100MB/s,暂无数据,150万小时
微星SPATIUM M390（1TB）,999,,,https://2a.zol-img.com.cn/product/225_320x240/608/ceTd7CTCEEk0M.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3300MB/s
写入速度：3000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3300MB/s,3000MB/s,暂无数据,暂无数据
Acer 掠夺者 GM7000HS（2TB）,999,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100133627532.html,https://2e.zol-img.com.cn/product/270_320x240/976/ceDLQVWsWOzLI.png,"存储容量：2TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：2GB
读取速度：7400MB/s
写入速度：6700MB/s
平均无故障时间：200万小时
平均寻道时间：暂无数据",2TB,2280,M.2 PCIe接口,2GB,7400MB/s,6700MB/s,暂无数据,200万小时
雷克沙NM800PRO （1TB）,999,599.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10057298900460.html,https://2e.zol-img.com.cn/product/221_320x240/694/cew9XRAq9jKYI.jpg,"存储容量：1TB
硬盘尺寸：1.8英寸
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：7500MB/s
写入速度：6300MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,1.8英寸,M.2 PCIe接口,1GB,7500MB/s,6300MB/s,暂无数据,150万小时
雷克沙NM600 M.2（960GB）,999,,,https://2a.zol-img.com.cn/product/194_320x240/486/ceO5aamKhfk.jpg,"存储容量：960GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2100MB/s
写入速度：1600MB/s
平均寻道时间：0.5ms
平均无故障时间：150万小时",960GB,暂无数据,M.2 PCIe接口,暂无数据,2100MB/s,1600MB/s,0.5ms,150万小时
致态TiPro7000（2TB）,999,1029.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100027952225.html,https://2a.zol-img.com.cn/product/221_320x240/880/ceyF41CzNWM6c.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7400MB/s
写入速度：6700MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,7400MB/s,6700MB/s,暂无数据,150万小时
Colorful CN700 战戟（2TB）,999,689.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10033135943075.html,https://2d.zol-img.com.cn/product/227_320x240/865/cezHD0Du8Fko.png,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7000MB/s
写入速度：5500MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,7000MB/s,5500MB/s,暂无数据,150万小时
联想SL7000（2TB）,999,769.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10067599582966.html,https://2e.zol-img.com.cn/product/227_320x240/562/ceEjsfjQRhw2.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：4800MB/s
写入速度：4400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,4800MB/s,4400MB/s,暂无数据,暂无数据
aigo（爱国者）P3500 2TB,999,1497.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10097377016018.html,https://2d.zol-img.com.cn/product/227_320x240/929/cePpFgrgUc.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：3200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,3200MB/s,暂无数据,暂无数据
龟甲T3000（1TB）,999,,,https://2a.zol-img.com.cn/product/225_320x240/938/ceEgjGDpCXeXQ.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：256MB
读取速度：3400MB/s
写入速度：2400MB/s
平均寻道时间：0.5ms
平均无故障时间：180万小时",1TB,暂无数据,M.2 PCIe接口,256MB,3400MB/s,2400MB/s,0.5ms,180万小时
影驰ONE M.2 NVMe SSD（1TB）,999,,,https://2e.zol-img.com.cn/product/196_320x240/568/ceDz2oXLSELYI.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1700MB/s
写入速度：1600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,1700MB/s,1600MB/s,暂无数据,暂无数据
Intel Optane 傲腾（32GB）,999,,,https://2b.zol-img.com.cn/product/182_320x240/595/ceiZqXyndSRgA.jpg,"存储容量：32GB
硬盘尺寸：22×80mm
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1350MB/s
写入速度：290MB/s
平均寻道时间：0.5ms
平均无故障时间：160万小时",32GB,22×80mm,M.2 PCIe接口,暂无数据,1350MB/s,290MB/s,0.5ms,160万小时
威刚GAMMIX S11（480GB）,999,,,https://2b.zol-img.com.cn/product/196_320x240/233/ceUXU5KNphpjM.jpg,"存储容量：480GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3200MB/s
写入速度：1700MB/s
平均寻道时间：0.5ms
平均无故障时间：200万小时",480GB,暂无数据,M.2 PCIe接口,暂无数据,3200MB/s,1700MB/s,0.5ms,200万小时
腾隐TP4000 PRO（2TB）,999,748.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10072033995781.html,https://2f.zol-img.com.cn/product/235_320x240/867/cesdPB9TUurVQ.jpg,"存储容量：2TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7500MB/s
写入速度：6700MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,2280,M.2 PCIe接口,暂无数据,7500MB/s,6700MB/s,暂无数据,150万小时
金胜维XG7000 2TB,999,1129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100077740954.html,https://2e.zol-img.com.cn/product/259_320x240/678/cennycbDftkU.png,"存储容量：2TB
硬盘尺寸：M.2 2242
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7200MB/s
写入速度：6600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,M.2 2242,M.2 PCIe接口,无缓存,7200MB/s,6600MB/s,暂无数据,暂无数据
Acer 掠夺者 GM7000（1TB）,999,489.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10068169578790.html,https://2e.zol-img.com.cn/product/223_320x240/890/cenQ1lRy58bhU.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7400MB/s
写入速度：6400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,7400MB/s,6400MB/s,暂无数据,暂无数据
长城GT35（2TB）,999,769.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10068205541953.html,https://2e.zol-img.com.cn/product/232_320x240/778/ceGGQxywFPBKI.png,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：3200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,3200MB/s,暂无数据,暂无数据
雷克沙NM620（1TB）,999,389.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100016508856.html,https://2b.zol-img.com.cn/product/225_320x240/65/ceCS7MhzGXO1s.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3300MB/s
写入速度：3000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3300MB/s,3000MB/s,暂无数据,暂无数据
海康威视E3000 PRO（1TB）,1019,,,https://2a.zol-img.com.cn/product/206_320x240/288/cev04XBFDgCqM.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：3500MB/s
写入速度：2800MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,1GB,3500MB/s,2800MB/s,暂无数据,150万小时
铠侠RD10（1000GB）,1029,,,https://2c.zol-img.com.cn/product/205_320x240/454/cebc1U8COucxA.jpg,"存储容量：1000GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：3400MB/s
写入速度：3200MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1000GB,暂无数据,M.2 PCIe接口,1GB,3400MB/s,3200MB/s,暂无数据,150万小时
希捷酷玩510（1TB）,1029,,,https://2e.zol-img.com.cn/product/205_320x240/730/ceLFfY54YA37c.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：3450MB/s
写入速度：3200MB/s
平均无故障时间：180万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,1GB,3450MB/s,3200MB/s,暂无数据,180万小时
致态TiPro7000三体联名（2TB）,1039,,,https://2d.zol-img.com.cn/product/221_320x240/521/ceHn6IrWyI7Dk.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7400MB/s
写入速度：6700MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,7400MB/s,6700MB/s,暂无数据,150万小时
OSCOO ON900A（512GB）,1049,,,https://2e.zol-img.com.cn/product/206_320x240/798/ceKiPlB5obkU.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：256MB
读取速度：1944MB/s
写入速度：1691MB/s
平均无故障时间：100万小时
平均寻道时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,256MB,1944MB/s,1691MB/s,暂无数据,100万小时
惠普EX920 M.2（1TB）,1049,,,https://2d.zol-img.com.cn/product/194_320x240/643/ce5SNWsAlzy.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3200MB/s
写入速度：1800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3200MB/s,1800MB/s,暂无数据,暂无数据
雷克沙NM800PRO （1TB/马甲版）,1049,629.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10058492169689.html,https://2b.zol-img.com.cn/product/221_320x240/691/ceZolW1BQgDsI.jpg,"存储容量：1TB
硬盘尺寸：1.8英寸
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：7500MB/s
写入速度：6300MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,1.8英寸,M.2 PCIe接口,1GB,7500MB/s,6300MB/s,暂无数据,150万小时
梵想SP740（2TB）,1069,1069.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10124179267115.html,https://2a.zol-img.com.cn/product/270_320x240/924/cesLawxFTQPi2.jpg,"存储容量：2TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7400MB/s
写入速度：6400MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,2280,M.2 PCIe接口,无缓存,7400MB/s,6400MB/s,暂无数据,150万小时
英睿达T500马甲版 2TB,1079,1099.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100072444376.html,https://2d.zol-img.com.cn/product/259_320x240/9/ceszEEwU0ljus.jpg,"存储容量：2TB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：2GB
读取速度：7400MB/s
写入速度：7000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,M.2 2280,M.2 PCIe接口,2GB,7400MB/s,7000MB/s,暂无数据,150万小时
长城GT50（2TB）,1088,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10068207358374.html,https://2b.zol-img.com.cn/product/232_320x240/407/ceIhfrMadvJU.png,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：5000MB/s
写入速度：4500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,5000MB/s,4500MB/s,暂无数据,暂无数据
技嘉Aorus NVMe Gen4（1TB）,1090,,,https://2f.zol-img.com.cn/product/225_320x240/89/ceXgIEAuBmSZA.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：5000MB/s
写入速度：4400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,5000MB/s,4400MB/s,暂无数据,暂无数据
三星970 EVO NVMe M.2（1TB）,1099,,,https://2d.zol-img.com.cn/product/222_320x240/719/cegBGlF3dVVM.png,"存储容量：1TB
硬盘尺寸：M.2-2280
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：3400MB/s
写入速度：2500MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,M.2-2280,M.2 PCIe接口,1GB,3400MB/s,2500MB/s,暂无数据,150万小时
三星990 PRO NVMe M.2（1TB）,1099,729.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10065663353967.html,https://2a.zol-img.com.cn/product/247_320x240/42/ce5YcdPqxuYI.png,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7450MB/s
写入速度：6900MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,7450MB/s,6900MB/s,暂无数据,暂无数据
联想PM9A1（1TB）,1099,719.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059122700719.html,https://2f.zol-img.com.cn/product/220_320x240/221/ceIS6QK7zux2I.jpg,"存储容量：1TB
硬盘尺寸：1.8英寸
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7000MB/s
写入速度：5000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,1.8英寸,M.2 PCIe接口,暂无数据,7000MB/s,5000MB/s,暂无数据,暂无数据
海盗船CSSD-F960GBMP510（960GB）,1099,,,https://2e.zol-img.com.cn/product/197_320x240/196/ce2ox9Q8ZmqOs.jpg,"存储容量：960GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3000MB/s
写入速度：2400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",960GB,暂无数据,M.2 PCIe接口,暂无数据,3000MB/s,2400MB/s,暂无数据,暂无数据
大华C900 PRO（1TB）,1099,,,https://2a.zol-img.com.cn/product/225_320x240/52/ceDpzmPUNyFK6.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3500MB/s
写入速度：1850MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,无缓存,3500MB/s,1850MB/s,暂无数据,150万小时
联想P980 M.2（1TB）,1099,,,https://2a.zol-img.com.cn/product/225_320x240/40/cey37eL5B9n2.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3400MB/s
写入速度：3000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3400MB/s,3000MB/s,暂无数据,暂无数据
金士顿NV2 NVMe（2TB）,1099,749.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100036659929.html,https://2b.zol-img.com.cn/product/223_320x240/109/ceERBu0ny4W0c.jpg,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：2800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,2800MB/s,暂无数据,暂无数据
海康威视C2000R（1TB）,1099,,,https://2b.zol-img.com.cn/product/198_320x240/323/ceJymmldd3EkI.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：暂无数据
写入速度：暂无数据
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
