标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,内存容量,内存类型,内存主频
金士顿低电压版 4GB DDR4 2400（KVR24N17S8/4）,189,,,https://2a.zol-img.com.cn/product/178_320x240/884/cebKV5ijYFv2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
芝奇Z 8GB DDR4 3000（F4-3000C15D-8GTZB）,869,,,https://2f.zol-img.com.cn/product/166_320x240/711/ceR4b4we7ZoaM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
芝奇Trident Z 16GB DDR4 3400（F4-3400C16D-16GTZ）,1888,,,https://2c.zol-img.com.cn/product/167_320x240/202/ceJrjok9EZZHw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3400MHz",台式机,暂无数据,DDR4,3400MHz
海力士4GB DDR3L 1600（笔记本）,148,,,https://2d.zol-img.com.cn/product/194_320x240/467/cedDm6zQdSfSM.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",笔记本,暂无数据,DDR3L,1600MHz
金士顿2GB DDR3 1333（KVR13N9S6/2）,159,,,https://2f.zol-img.com.cn/product/169_320x240/393/ce2QpVjjwAmWU.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1333MHz",台式机,暂无数据,DDR3,1333MHz
阿斯加特黑骑士V1 32GB（2×16GB）DDR4 3600,1199,,,https://2b.zol-img.com.cn/product/208_320x240/297/ceYnkZTO3S50s.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
威刚XPG 龙耀 D500G RO姬 DDR5 6000 32GB(16GBx2),979,1059.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100125338983.html,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
威刚XPG 龙耀 D500G RO姬 DDR5 6000 64GB(32GBx2),1899,,,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
威刚XPG 龙耀 D500G RO姬 DDR5 6400 32GB(16GBx2),999,928.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095333698872.html,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
威刚XPG 龙耀 D500G RO姬 DDR5 6400 64GB(32GBx2),1899,1899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100049221942.html,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
威刚XPG 龙耀 D500G RO姬 DDR5 6800 32GB(16GBx2),1099,978.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095333698873.html,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
威刚XPG 龙耀 D500G RO姬 DDR5 6800 64GB(32GBx2),2399,,,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
威刚XPG 龙耀 D500G RO姬 DDR5 7200 32GB(16GBx2),1479,1098.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095333698874.html,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
威刚XPG 龙耀 D500G RO姬 DDR5 7200 64GB(32GBx2),2499,,,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
威刚XPG 龙耀 D500G RO姬 DDR5 8000 32GB(16GBx2),1899,1378.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095333698875.html,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",台式机,暂无数据,DDR5,8000MHz
威刚XPG 龙耀 D500G RO姬 DDR5 8000 64GB(32GBx2),2499,,,https://2f.zol-img.com.cn/product/259_320x240/843/cegY5BCOkmgC2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",台式机,暂无数据,DDR5,8000MHz
阿斯加特博拉琪Ⅱ代 DDR5 6000 32GB（2×16GB）,859,959.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100147398452.html,https://2d.zol-img.com.cn/product/270_320x240/863/ce5tc1ydPcUd.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
麦光4GB DDR3 1600（台式机）,109,64.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10030320265549.html,https://2d.zol-img.com.cn/product/226_320x240/519/cefsdDJm88QQ.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
捷派DDR3 4GB 1600（笔记本）,105,,,https://2d.zol-img.com.cn/product/215_320x240/75/ceprenUXUMRtQ.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",笔记本,暂无数据,DDR3,1600MHz
金士顿FURY Beast 32GB（2×16GB）DDR5 5600 RGB白色款,959,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100055896135.html,https://2b.zol-img.com.cn/product/247_320x240/511/ceuZWTyF4qT5I.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
Team 火神系列 8GB DDR4 2666,199,,,https://2d.zol-img.com.cn/product/199_320x240/53/ce2vPR1EtQ6So.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
xingyixin（星亿芯）ddr4 2666 16g ddr4 2666 16g,309,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/62654151541.html,https://2d.zol-img.com.cn/product/229_320x240/821/ceYLaIgt3OI6M.jpg,"适用类型：288-pin ddr4 sdram
内存容量：暂无数据
内存类型：暂无数据
内存主频：暂无数据",288-pin ddr4 sdram,暂无数据,暂无数据,暂无数据
十铨科技XTREEM DDR5 48G(24G*2) 8200,3099,2799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10089460193807.html,https://2d.zol-img.com.cn/product/256_320x240/421/ceWPeXdKmrDFE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8200MHz",台式机,暂无数据,DDR5,8200MHz
影驰GAMER BLUE DDR4 3000 8GB,329,,,https://2f.zol-img.com.cn/product/226_320x240/287/ce12oihQ2uy2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
宇瞻盔甲武士 4GB DDR3 1600,189,,,https://2b.zol-img.com.cn/product/104_320x240/307/ceRq0vzuL1OuY.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
金邦千禧 笔记本内存 DDR4 2666 4GB,69,69.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68707763160.html,https://2b.zol-img.com.cn/product/270_320x240/149/ceG8lvTWLiy1U.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金邦千禧 笔记本内存 DDR4 2666 8GB,78,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68707763157.html,https://2b.zol-img.com.cn/product/270_320x240/149/ceG8lvTWLiy1U.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金邦千禧 笔记本内存 DDR4 2666 16GB,149,149.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68707763163.html,https://2b.zol-img.com.cn/product/270_320x240/149/ceG8lvTWLiy1U.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金邦千禧 笔记本内存 DDR4 2666 8GB（2×4GB）,129,,,https://2a.zol-img.com.cn/product/270_320x240/148/ceqCJzLRuYuoU.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金邦千禧 笔记本内存 DDR4 2666 16GB（2×8GB）,155,155.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10112238024576.html,https://2a.zol-img.com.cn/product/270_320x240/148/ceqCJzLRuYuoU.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金邦千禧 笔记本内存 DDR4 2666 32GB（2×16GB）,289,289.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10112238024579.html,https://2a.zol-img.com.cn/product/270_320x240/148/ceqCJzLRuYuoU.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
美商海盗船复仇者 RGB SL DDR5 6800 32GB（2×16GB）,1049,1049.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100102875472.html,https://2a.zol-img.com.cn/product/270_320x240/214/cemh9HtHyDfo.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
美商海盗船复仇者 RGB SL DDR5 6800 64GB（2×32GB）,1999,,,https://2a.zol-img.com.cn/product/270_320x240/214/cemh9HtHyDfo.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
美商海盗船复仇者 RGB SL DDR5 6800 16GB,529,,,https://2a.zol-img.com.cn/product/270_320x240/214/cemh9HtHyDfo.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
美商海盗船复仇者 RGB SL DDR5 6800 32GB,1049,,,https://2a.zol-img.com.cn/product/270_320x240/214/cemh9HtHyDfo.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
创见DDR4 2666 4GB（笔记本）,159,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/45254439951.html,https://2f.zol-img.com.cn/product/197_320x240/397/ceDeGMiyHUgkM.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金百达8GB DDR4 2400（笔记本）,199,,,https://2d.zol-img.com.cn/product/195_320x240/833/ceftWaglwnN3E.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",笔记本,暂无数据,DDR4,2400MHz
Acer宏碁 Hera 影锋 DDR5 7200 C36 48GB(24GB×2),1899,1729.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10097054103343.html,https://2a.zol-img.com.cn/product/269_320x240/930/cezYihDwUMYo.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
新乐士幻影王者 RGB DDR5 6400 64GB（2×32GB）,1699,,,https://2a.zol-img.com.cn/product/259_320x240/578/ce46pkt2gKTOk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
新乐士幻影王者 RGB DDR5 6800 32GB（2×16GB）,1099,,,https://2a.zol-img.com.cn/product/259_320x240/578/ce46pkt2gKTOk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
新乐士幻影王者 RGB DDR5 6800 48GB（2×24GB）,1599,,,https://2a.zol-img.com.cn/product/259_320x240/578/ce46pkt2gKTOk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
新乐士幻影王者 RGB DDR5 7200 32GB（2×16GB）,1299,849.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10123213745249.html,https://2a.zol-img.com.cn/product/259_320x240/578/ce46pkt2gKTOk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
新乐士幻影王者 RGB DDR5 7200 48GB（2×24GB）,1799,1199.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10123213745250.html,https://2a.zol-img.com.cn/product/259_320x240/578/ce46pkt2gKTOk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
新乐士幻影王者 RGB DDR5 8000 32GB（2×16GB）,1699,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10123213745253.html,https://2a.zol-img.com.cn/product/259_320x240/578/ce46pkt2gKTOk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",台式机,暂无数据,DDR5,8000MHz
新乐士幻影王者 RGB DDR5 8000 48GB（2×24GB）,2299,1299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10123213745254.html,https://2a.zol-img.com.cn/product/259_320x240/578/ce46pkt2gKTOk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",台式机,暂无数据,DDR5,8000MHz
枭鲸16GB DDR4 3000 电竞版,429,,,https://2b.zol-img.com.cn/product/205_320x240/887/cev42TqKHwzYk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
魅光黑战MT 8G 2400,265,,,https://2f.zol-img.com.cn/product/196_320x240/599/ceU09QAc74zs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
铭瑄 太极G3 8GB DDR4 3000,259,,,https://2c.zol-img.com.cn/product/209_320x240/8/ce3mhUjn7kfYE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
索奈特2GB DDR3 1333（台式机）,45,25.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68648477607.html,https://2e.zol-img.com.cn/product/226_320x240/280/ceueSvCym4bfY.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1333MHz",台式机,暂无数据,DDR3,1333MHz
金士顿16GB DDR5 5600台式机内存条,429,319.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100080925500.html,https://2b.zol-img.com.cn/product/258_320x240/329/ce4RCvXaNvVE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
金士顿32GB DDR5 5600台式机内存条,799,599.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100080925542.html,https://2b.zol-img.com.cn/product/258_320x240/329/ce4RCvXaNvVE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
金士顿32GB(16G×2)  DDR5 5600台式机内存条,859,739.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100017013735.html,https://2b.zol-img.com.cn/product/258_320x240/329/ce4RCvXaNvVE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
金士顿64GB(32G×2) DDR5 5600台式机内存条,1599,,,https://2b.zol-img.com.cn/product/258_320x240/329/ce4RCvXaNvVE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
skic 8g ddr4 2666 ecc 8g ddr4 2666 ecc,289,289.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/72008474570.html,https://2c.zol-img.com.cn/product/229_320x240/552/cesqb324IaatM.jpg,"适用类型：260-pin so-dimm
内存容量：暂无数据
内存类型：暂无数据
内存主频：2400MHz",260-pin so-dimm,暂无数据,暂无数据,2400MHz
金泰克速虎X4 16GB（2×8GB）DDR4 3200,449,,,https://2c.zol-img.com.cn/product/215_320x240/760/cerBKMZoUJiCs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
威刚XPG龙耀D500G 吹雪 32GB(16GB*2) DDR5 6800,1099,1099.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100070417867.html,https://2a.zol-img.com.cn/product/256_320x240/918/ceOzJ9e1hxxpc.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
记忆科技8GB DDR4 2666,279,,,https://2b.zol-img.com.cn/product/201_320x240/967/ceeqD4j5Brapo.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
协德16GB DDR4 2400马甲条,459,,,https://2e.zol-img.com.cn/product/197_320x240/462/ceSLnYuHFlzLg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
金士顿FURY Beast超级野兽 RGB DDR5 6000 32GB（2×16GB）黑,1099,949.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100092806825.html,https://2f.zol-img.com.cn/product/263_320x240/597/cekVDNpET84yI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金士顿FURY Beast超级野兽 RGB DDR5 6000 64GB（2×32GB）黑,1899,,,https://2f.zol-img.com.cn/product/263_320x240/597/cekVDNpET84yI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金士顿FURY Beast超级野兽 RGB DDR5 6000 32GB（2×16GB）白,1099,949.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100092806781.html,https://2e.zol-img.com.cn/product/263_320x240/602/ceJVwot1jFmmM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金士顿FURY Beast超级野兽 RGB DDR5 6000 64GB（2×32GB）白,1899,1699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100103552392.html,https://2e.zol-img.com.cn/product/263_320x240/602/ceJVwot1jFmmM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
Goldendisk 2GB DDR3L 1866（笔记本）,290,,,https://2d.zol-img.com.cn/product/214_320x240/375/ceGrqDTbLVbs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3L
内存主频：1866MHz",台式机,暂无数据,DDR3L,1866MHz
金士顿FURY 叛逆者Renegade DDR5 7600 32GB(16GBx2),1799,1699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100076974127.html,https://2b.zol-img.com.cn/product/259_320x240/319/cekbNZbeHke7o.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",台式机,暂无数据,DDR5,8000MHz
金士顿FURY 叛逆者Renegade DDR5 7600 32GB(16GBx2) 白色款,1799,,,https://2a.zol-img.com.cn/product/259_320x240/342/ceEeWqU8ZDrqw.jpg,"适用类型：288-pin dimm
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",288-pin dimm,暂无数据,DDR5,8000MHz
金士顿FURY 叛逆者Renegade DDR5 7600 32GB(16GBx2) RGB款,1899,1799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100079777772.html,https://2f.zol-img.com.cn/product/259_320x240/317/cejqCyvzD0HY.jpg,"适用类型：288-pin dimm
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",288-pin dimm,暂无数据,DDR5,8000MHz
金士顿FURY 叛逆者Renegade DDR5 7600 32GB(16GBx2) 白色RGB款,1899,,,https://2b.zol-img.com.cn/product/259_320x240/325/ceiK6n0ICIhyk.jpg,"适用类型：288-pin dimm
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",288-pin dimm,暂无数据,DDR5,8000MHz
七彩虹MEOW 橘影橙 DDR5 6000 32GB（2×16GB）,869,729.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100068683123.html,https://2a.zol-img.com.cn/product/269_320x240/928/ceyJGW0zOcWro.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
十铨科技XTREEM幻镜 DDR5 6400 32GB（2×16GB）,959,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10118717237485.html,https://2f.zol-img.com.cn/product/269_320x240/377/ceTw2k3CVyfR6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
索奈特2GB DDR2 800（台式机）,38,,,https://2c.zol-img.com.cn/product/215_320x240/56/ce64gYAkGDWfc.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR2
内存主频：800MHz",台式机,暂无数据,DDR2,800MHz
科赋炎龙CRAS V RGB DDR5 6000 32GB（2×16GB）,899,739.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10098044119717.html,https://2e.zol-img.com.cn/product/260_320x240/990/ceURubS5rpT6.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
科赋炎龙CRAS V RGB DDR5 6000 48GB（2×24GB）,1199,1049.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095160496052.html,https://2e.zol-img.com.cn/product/260_320x240/990/ceURubS5rpT6.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
科赋炎龙CRAS V RGB DDR5 6000 64GB（2×32GB）,1699,1399.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10096399144408.html,https://2e.zol-img.com.cn/product/260_320x240/990/ceURubS5rpT6.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
skic 16g ddr4 2666 ecc 16g ddr4 2666 ecc,529,529.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10026018736218.html,https://2a.zol-img.com.cn/product/229_320x240/538/ceDw7axXKWcCo.jpg,"适用类型：260-pin so-dimm
内存容量：暂无数据
内存类型：暂无数据
内存主频：2400MHz",260-pin so-dimm,暂无数据,暂无数据,2400MHz
xingyixin（星亿芯）ddr4 3200 16g ddr4 3200 16g,309,259.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68463001530.html,https://2e.zol-img.com.cn/product/229_320x240/774/cejJ0zpTPauHE.jpg,"适用类型：288-pin ddr4 sdram
内存容量：暂无数据
内存类型：暂无数据
内存主频：暂无数据",288-pin ddr4 sdram,暂无数据,暂无数据,暂无数据
协德勇者系列 8GB DDR3 1333,149,36.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10109325470.html,https://2c.zol-img.com.cn/product/198_320x240/156/ceC1XD4FSpwj6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1333MHz",台式机,暂无数据,DDR3,1333MHz
协德勇者系列 2GB DDR2 533,68,,,https://2e.zol-img.com.cn/product/198_320x240/224/cev3eMCHqACA.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR2
内存主频：533MHz",台式机,暂无数据,DDR2,533MHz
协德4GB DDR3 1600马甲条,99,,,https://2e.zol-img.com.cn/product/197_320x240/688/ceUq7jq11DwLE.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",笔记本,暂无数据,DDR3,1600MHz
影驰GAMER BLUE 16GB DDR4 3000,529,,,https://2f.zol-img.com.cn/product/226_320x240/165/ceCKqdy6S5iV2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
英睿达Ballistix铂胜MAX 16GB（2×8GB）DDR4 4400（BLM2K8G44C19U4BL）,1499,,,https://2f.zol-img.com.cn/product/213_320x240/691/ceyGddDxiGItY.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：4400MHz",台式机,暂无数据,DDR4,4400MHz
酷兽32GB DDR4 2666（笔记本）,669,298.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/67154623387.html,https://2f.zol-img.com.cn/product/207_320x240/65/ceCCfTuIVsLbQ.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
海盗船复仇者RGB RS 16GB（2×8GB）DDR4 3200（CMG16GX4M2E3200C16）,589,1186.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10056649170159.html,https://2d.zol-img.com.cn/product/215_320x240/929/ce8SKFGzqnuEQ.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
